date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-03-02,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_02.csv,1036245,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_02_mm-only_heuristic,1036245,624,0,0.0000,60,480.6474,3.7151,0.7671,15.9822,0
2026-03-03,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_03.csv,1205769,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_03_mm-only_heuristic,1205769,938,0,0.0000,60,342.5202,4.8556,1.0954,11.4496,0
2026-03-04,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_04.csv,798088,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_04_mm-only_heuristic,798088,241,0,0.0000,60,41.0943,3.9886,0.4075,4.0782,0
2026-03-05,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_05.csv,1258385,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_05_mm-only_heuristic,1258385,1009,335,123.2192,60,476.1558,5.0701,0.8382,14.4942,0
2026-03-06,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_06.csv,1060721,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_06_mm-only_heuristic,1060721,586,0,0.0000,60,279.5453,12.0735,0.8878,10.7014,0
2026-03-09,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_09.csv,725878,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_09_mm-only_heuristic,725878,32,0,0.0000,60,15.2816,2.1706,0.2193,3.3281,0
2026-03-10,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_10.csv,898026,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_10_mm-only_heuristic,898026,774,0,0.0000,60,268.2469,6.6514,0.8381,10.2880,0
2026-03-11,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_11.csv,1060913,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_11_mm-only_heuristic,1060913,699,0,0.0000,60,326.0217,4.5460,0.8009,13.9417,0
2026-03-12,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_12.csv,1041602,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_12_mm-only_heuristic,1041602,1025,367,68.1029,60,553.0635,8.0887,0.9514,17.4844,0
2026-03-13,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_13.csv,1111811,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_13_mm-only_heuristic,1111811,699,0,0.0000,60,271.8264,3.7398,0.8177,10.2219,0
2026-03-16,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_16.csv,1048573,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_16_mm-only_heuristic,1048573,1181,1045,172.6101,60,585.7765,5.4694,0.7253,6.6305,0
2026-03-17,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_17.csv,1054896,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_17_mm-only_heuristic,1054896,649,11496,1972.2006,60,102.7175,8.5611,0.4967,4.8667,0
2026-03-18,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_18.csv,1160890,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_18_mm-only_heuristic,1160890,895,882,147.0718,60,347.6013,6.9338,0.7496,12.3782,0
2026-03-19,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_19.csv,1219556,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_03_19_mm-only_heuristic,1219556,1212,0,0.0000,60,523.5272,6.3882,1.0196,17.0881,0
