entry_timestamp_ns,exit_timestamp_ns,entry_event_index,exit_event_index,sleeve_id,sleeve,side,entry_reason,exit_reason,execution_type,portfolio_weight,forecast_edge_bps,signal_expected_edge_bps,ml_win_probability,score,conviction,entry_fill_price,exit_fill_price,entry_mid_price,exit_mid_price,entry_spread_bps,exit_spread_bps,gross_pnl_bps,transaction_cost_bps,execution_haircut_bps,adverse_selection_bps,net_pnl_bps,weighted_net_pnl_bps,sleeve_inventory_after_trade,entry_feature_spread_bps_1s,entry_feature_spread_bps_100ms,entry_feature_side_imbalance_100ms,entry_feature_side_imbalance_1s,entry_feature_side_microprice_edge_100ms_bps,entry_feature_side_microprice_edge_1s_bps,entry_feature_quote_rate_1s_scaled,entry_feature_avg_bid_size_1s_scaled,entry_feature_avg_ask_size_1s_scaled,entry_feature_regime_quality,entry_feature_conviction,entry_feature_abs_score,entry_feature_signal_expected_edge_bps
1776259817860000000,1776259817870000000,1787,1788,0,Market Making,long,signal_entry,take_profit,passive,0.45784625,1.52460392,1.52460392,0.50000000,0.64990202,1.00000000,500.12089100,500.23104200,500.17589100,500.17604200,2.19926908,2.19926864,2.20248748,0.06000000,1.93941491,0.00000000,0.20307257,0.09297601,0.00000000,2.19926908,2.19922836,0.63672073,0.63616070,0.70014714,0.69954428,0.97000000,0.02701031,0.00600000,0.00000000,1.00000000,0.64990202,1.52460392
1776259818280000000,1776259818290000000,1829,1830,0,Market Making,long,signal_entry,take_profit,passive,0.70929493,1.52209596,1.52209596,0.50000000,0.64491838,1.00000000,500.08853500,500.19877000,500.14353500,500.14377000,2.19928445,2.19928528,2.20430968,0.06000000,1.93942822,0.00000000,0.20488146,0.14532138,0.00000000,2.19928445,2.19937262,0.63023321,0.63583341,0.69305882,0.69918929,0.99000000,0.02697980,0.00600000,0.00000000,1.00000000,0.64491838,1.52209596
1776259818890000000,1776259818900000000,1890,1891,0,Market Making,long,signal_entry,take_profit,passive,0.59756070,1.52500176,1.52500176,0.50000000,0.65058725,1.00000000,500.10167500,500.21182800,500.15667500,500.15682800,2.19933821,2.19935082,2.20261210,0.06000000,1.93948066,0.00000000,0.20313144,0.12138337,0.00000000,2.19933821,2.19931398,0.63765723,0.63604829,0.70120422,0.69944268,1.00000000,0.02705000,0.00601000,0.00000000,1.00000000,0.65058725,1.52500176
1776259819440000000,1776259819450000000,1945,1946,0,Market Making,long,signal_entry,take_profit,passive,0.42767743,1.39498621,1.39498621,0.50000000,0.39138326,1.00000000,500.10635100,500.21637500,500.16135100,500.16137500,2.19930870,2.19930851,2.20001205,0.06000000,1.93944681,0.00000000,0.20056524,0.08577723,0.00000000,2.19930870,2.19929045,0.32439560,0.55030306,0.35672008,0.60514393,0.95000000,0.02463158,0.00691579,0.00000000,1.00000000,0.39138326,1.39498621
1776259819870000000,1776259819880000000,1988,1989,0,Market Making,long,signal_entry,take_profit,passive,0.80655647,1.37007360,1.37007360,0.50000000,0.33554381,1.00000000,500.10655800,500.21652800,500.16155800,500.16152800,2.19929267,2.19929263,2.19893137,0.06000000,1.93943411,0.00000000,0.19949727,0.16090581,0.00000000,2.19929267,2.19928893,0.30032707,0.40807704,0.33025300,0.44874080,0.98000000,0.02067347,0.00842857,0.00000000,1.00000000,0.33554381,1.37007360
1776259820450000000,1776259820460000000,2046,2047,0,Market Making,long,signal_entry,take_profit,passive,0.71914948,1.36558290,1.36558290,0.50000000,0.32147806,1.00000000,500.10684300,500.21682500,500.16184300,500.16182500,2.19928906,2.19928905,2.19917007,0.06000000,1.93943124,0.00000000,0.19973883,0.14364208,0.00000000,2.19928906,2.19928798,0.31699634,0.30891643,0.34858312,0.33969827,0.96000000,0.01797917,0.00950000,0.00000000,1.00000000,0.32147806,1.36558290
1776259821170000000,1776259821180000000,2118,2119,0,Market Making,long,signal_entry,take_profit,passive,0.77077586,1.35905446,1.35905446,0.50000000,0.30869055,1.00000000,500.10678600,500.21676200,500.16178600,500.16176200,2.19928903,2.19928902,2.19905034,0.06000000,1.93943122,0.00000000,0.19961913,0.15386160,0.00000000,2.19928903,2.19928810,0.29983313,0.30961905,0.32970972,0.34047089,0.98000000,0.01796939,0.00947959,0.00000000,1.00000000,0.30869055,1.35905446
1776259824090000000,1776259824100000000,2410,2411,0,Market Making,long,signal_entry,take_profit,passive,0.35234223,1.46210287,1.46210287,0.50000000,0.49941175,1.00000000,500.10847100,500.21865200,500.16347100,500.16365200,2.19928981,2.19928970,2.20314205,0.06000000,1.93943176,0.00000000,0.20371029,0.07177574,0.00000000,2.19928981,2.19928475,0.63781715,0.06378171,0.70137077,0.07013708,1.00000000,0.01485000,0.01276000,0.00000000,1.00000000,0.49941175,1.46210287
1776259824830000000,1776259824840000000,2484,2485,0,Market Making,long,signal_entry,take_profit,passive,0.72893113,1.51469382,1.51469382,0.50000000,0.62744000,1.00000000,500.12248000,500.23273000,500.17748000,500.17773000,2.19926004,2.19925960,2.20446000,0.06000000,1.93940768,0.00000000,0.20505231,0.14946901,0.00000000,2.19926004,2.19922101,0.63035688,0.56836783,0.69314704,0.62499333,0.94000000,0.02558511,0.00681915,0.00000000,1.00000000,0.62744000,1.51469382
1776259825410000000,1776259825420000000,2542,2543,0,Market Making,long,signal_entry,take_profit,passive,0.64162248,1.52515795,1.52515795,0.50000000,0.65104628,1.00000000,500.13384600,500.24399900,500.18884600,500.18899900,2.19920800,2.19920757,2.20247042,0.06000000,1.93936606,0.00000000,0.20310436,0.13031632,0.00000000,2.19920800,2.19916972,0.63839702,0.63571491,0.70197169,0.69903464,0.92000000,0.02696739,0.00600000,0.00000000,1.00000000,0.65104628,1.52515795
