date,symbol,file_path,row_count,first_timestamp_ns,last_timestamp_ns,duration_minutes,min_bid,max_ask,mean_spread,median_spread,min_spread,max_spread,status
2026-03-19,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_19.csv,372547,1773927000008694469,1773930599884285580,59.9979,637.080000,676.570000,5.69906509,4.71020824,0.15167027,601.22559281,ok
2026-03-20,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_20.csv,580028,1774013400007924231,1774016999998997883,59.9999,636.950000,676.410000,4.76080687,4.14196191,0.15231712,600.90150454,ok
2026-03-23,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_23.csv,1105279,1774272600009777462,1774276199994571301,59.9997,638.210000,677.810000,3.16782159,2.12523719,0.15100380,601.81456209,ok
2026-03-24,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_24.csv,945895,1774359000008730762,1774362599998966571,59.9998,631.740000,670.860000,2.96886324,1.22942632,0.15302336,600.64486412,ok
2026-03-25,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_25.csv,835290,1774445400012959836,1774448999970980992,59.9993,638.900000,678.500000,2.75318149,1.36934196,0.15131455,601.18415060,ok
2026-03-26,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_26.csv,308049,1774531800014106674,1774535399915791905,59.9984,632.450000,671.630000,5.69358504,5.20187880,0.15272655,600.88338139,ok
2026-03-27,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_27.csv,644500,1774618200014218616,1774621799907415954,59.9982,623.200000,661.830000,4.76313666,4.52845509,0.15566019,601.23109966,ok
2026-03-30,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_30.csv,777568,1774877400010359785,1774880999923999814,59.9986,620.830000,659.300000,2.57830643,0.93727300,0.15623657,601.03270762,ok
2026-03-31,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_31.csv,870370,1774963800015579302,1774967399990606159,59.9996,619.770000,658.150000,2.21558079,0.77798611,0.15554398,600.66357831,ok
2026-04-01,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_01.csv,603643,1775050200012838179,1775053799982677949,59.9995,634.110000,673.370000,4.80700377,4.43760951,0.15243322,600.54455900,ok
2026-04-02,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_02.csv,961061,1775136600017286174,1775140199916167421,59.9983,627.000000,665.850000,2.67667483,0.92435680,0.15361101,600.99779557,ok
2026-04-03,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_03.csv,0,,,0.0000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,empty
2026-04-06,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_06.csv,408932,1775482200013374239,1775485799934030486,59.9987,636.900000,675.440000,5.24158641,4.70849123,0.15177616,587.34779097,ok
2026-04-07,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_07.csv,584756,1775568600034634064,1775572199970600042,59.9989,636.880000,676.340000,3.00256573,1.68470062,0.15245181,600.96556556,ok
2026-04-08,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_08.csv,664568,1775655000015506621,1775658599949031592,59.9989,656.050000,696.720000,2.12781133,0.88928413,0.14782949,601.28477125,ok
2026-04-09,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_09.csv,465035,1775741400008121379,1775744999994225494,59.9998,654.530000,695.080000,2.20238557,0.59259259,0.14798044,600.91433822,ok
2026-04-10,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_10.csv,342409,1775827800014317765,1775831399962254275,59.9991,660.710000,701.630000,2.60911176,1.61435899,0.14668887,600.73109503,ok
2026-04-13,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_13.csv,151544,1776087000015850853,1776090599968064311,59.9992,657.020000,697.730000,4.36980854,3.68153270,0.14706639,600.99649382,ok
2026-04-14,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_14.csv,361549,1776173400008559823,1776176999907191209,59.9983,667.080000,708.400000,2.21641683,0.57975216,0.14471256,600.80844505,ok
