date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-04-28,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_28.csv,509319,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_28_full_heuristic,509319,598,23932,21.1904,60,157.0449,4.0361,0.7947,8.2590,0
2026-04-29,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_29.csv,154319,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_29_full_heuristic,154319,60,1,0.1890,60,32.9421,1.1199,0.6245,5.2273,0
2026-04-30,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_30.csv,678202,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_30_full_heuristic,678202,627,61509,1.1369,60,210.2104,10.9555,0.7748,8.8873,0
2026-05-01,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_01.csv,443002,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_05_01_full_heuristic,443002,606,17012,33.9690,60,236.8791,4.8994,0.8666,9.2313,0
2026-05-04,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_04.csv,357549,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_05_04_full_heuristic,357549,610,13673,42.7634,60,208.7309,4.5101,0.9158,11.0615,0
2026-05-05,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_05.csv,417309,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_05_05_full_heuristic,417309,684,20919,282.7743,60,402.2487,3.0743,1.1198,16.6591,0
2026-05-06,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_06.csv,493077,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_05_06_full_heuristic,493077,706,23893,19.4767,60,196.4418,9.4428,0.8274,9.7209,0
2026-05-07,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_07.csv,285491,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_05_07_full_heuristic,285491,571,9805,43.5168,60,287.1089,4.6177,0.8205,13.0628,0
2026-05-08,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_08.csv,417546,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_05_08_full_heuristic,417546,550,15510,8.6489,60,153.5079,5.4295,0.7073,7.1324,0
2026-05-11,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_11.csv,451071,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_05_11_full_heuristic,451071,923,25626,90.8546,60,368.3686,4.3896,0.9764,14.2692,0
2026-05-12,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_12.csv,517446,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_05_12_full_heuristic,517446,957,29928,12.1599,60,404.7530,6.4860,1.0115,16.8640,0
