date,symbol,file_path,row_count,first_timestamp_ns,last_timestamp_ns,duration_minutes,min_bid,max_ask,mean_spread,median_spread,min_spread,max_spread,status
2026-03-16,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_16.csv,616904,1773667800005471297,1773671399931676607,59.9988,242.200000,257.240000,5.08815946,0.79824386,0.39766966,602.27454749,ok
2026-03-17,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_17.csv,591954,1773754200008517625,1773757799964367964,59.9993,242.180000,257.200000,5.31560936,0.79795723,0.39729048,601.54591694,ok
2026-03-18,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_18.csv,742006,1773840600006613119,1773844199978399542,59.9995,240.840000,255.800000,6.27068062,1.21175401,0.40143714,602.44845361,ok
2026-03-19,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_19.csv,791704,1773927000008148704,1773930599933586599,59.9988,235.680000,250.290000,8.23329518,4.50127877,0.40714126,601.27168344,ok
2026-03-20,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_20.csv,822311,1774013400006935115,1774016999958147540,59.9992,239.410000,254.300000,6.68095364,1.22596596,0.40409755,603.18810638,ok
2026-03-23,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_23.csv,1053012,1774272600003406740,1774276199944462907,59.9990,239.790000,254.690000,8.90944148,1.60642570,0.39978412,602.65329235,ok
2026-03-24,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_24.csv,816151,1774359000004952699,1774362599947913373,59.9990,238.070000,252.840000,7.35338213,1.63205353,0.40480094,601.73962641,ok
2026-03-25,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_25.csv,340996,1774445400007939114,1774448999501618706,59.9916,244.160000,259.320000,7.41045414,1.19386354,0.39531160,602.20862795,ok
2026-03-26,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_26.csv,448213,1774531800004432973,1774535399920213595,59.9986,241.380000,258.950000,10.38448456,9.55984864,0.39738521,601.53095052,ok
2026-03-27,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_27.csv,899319,1774618200006212325,1774621799953816944,59.9991,238.630000,253.470000,3.86401816,0.81685999,0.40572066,603.12944523,ok
2026-03-30,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_30.csv,614781,1774877400006198004,1774880999940531047,59.9989,237.970000,252.730000,6.64739918,1.64941652,0.40775551,601.58956593,ok
2026-03-31,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_31.csv,594536,1774963800005258988,1774967399995363821,59.9998,235.710000,250.370000,7.19354037,1.23362872,0.40783866,603.19289006,ok
2026-04-01,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_01.csv,1023217,1775050200008527003,1775053799989033287,59.9997,242.430000,257.480000,2.16321806,0.79840319,0.39784369,602.10837951,ok
2026-04-02,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_02.csv,741259,1775136600007698630,1775140199991126803,59.9997,244.790000,252.340000,4.71736815,1.21864527,0.40323394,303.74348762,ok
2026-04-06,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_06.csv,604577,1775482200018311412,1775485799938191445,59.9987,243.320000,258.420000,7.53977399,1.59254688,0.39612589,601.90536931,ok
2026-04-07,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_07.csv,543356,1775568600008239927,1775572199945307027,59.9990,243.660000,258.770000,7.20852860,2.78901130,0.39729048,601.47682264,ok
2026-04-08,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_08.csv,685568,1775655000014077997,1775658599959250730,59.9991,253.720000,269.480000,5.72132678,1.15032880,0.38148282,602.44648318,ok
