date,source_dataset,gross_strategy_return,net_strategy_return,benchmark_return,turnover,trading_cost,cumulative_net_return
2023-05-16,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.006682674802190425,0.0,0.0,1.0
2023-05-17,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.012138975554691012,0.0,0.0,1.0
2023-05-18,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.009633264318818835,0.0,0.0,1.0
2023-05-19,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.0014551216826217406,0.0,0.0,1.0
2023-05-22,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.00040620359709109266,0.0,0.0,1.0
2023-05-23,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.011222857144587817,0.0,0.0,1.0
2023-05-24,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.00724491504226632,0.0,0.0,1.0
2023-05-25,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.008660066155286472,0.0,0.0,1.0
2023-05-26,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.012950730063640892,0.0,0.0,1.0
2023-05-30,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.00038083948529288314,0.0,0.0,1.0
2023-05-31,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.005545278833438583,0.0,0.0,1.0
2023-06-01,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.009501064701213924,0.0,0.0,1.0
2023-06-02,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.01446119491777531,0.0,0.0,1.0
2023-06-05,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.0019161770370904607,0.0,0.0,1.0
2023-06-06,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0021774354866517243,0.0,0.0,1.0
2023-06-07,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.003457804669673714,0.0,0.0,1.0
2023-06-08,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.006048549132575465,0.0,0.0,1.0
2023-06-09,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0017943807158427028,0.0,0.0,1.0
2023-06-12,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.009071870848922803,0.0,0.0,1.0
2023-06-13,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.006592905141016958,0.0,0.0,1.0
2023-06-14,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.001190779577883383,0.0,0.0,1.0
2023-06-15,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.012397712470477273,0.0,0.0,1.0
2023-06-16,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.0034063137609057215,0.0,0.0,1.0
2023-06-20,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.005188118453110846,0.0,0.0,1.0
2023-06-21,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.005123752099032042,0.0,0.0,1.0
2023-06-22,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.003609732759478179,0.0,0.0,1.0
2023-06-23,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.007560042937187483,0.0,0.0,1.0
2023-06-26,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.004085672584312028,0.0,0.0,1.0
2023-06-27,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.010963257955930672,0.0,0.0,1.0
2023-06-28,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0005044633488615613,0.0,0.0,1.0
2023-06-29,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.003941359132847655,0.0,0.0,1.0
2023-06-30,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.01180073517056246,0.0,0.0,1.0
2023-07-03,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.001150479611222055,0.0,0.0,1.0
2023-07-05,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.0014871911047333874,0.0,0.0,1.0
2023-07-06,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.007830629944856504,0.0,0.0,1.0
2023-07-07,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.0025247160880151887,0.0,0.0,1.0
2023-07-10,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0025311064130968397,0.0,0.0,1.0
2023-07-11,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.006368562556071655,0.0,0.0,1.0
2023-07-12,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.00804585996648921,0.0,0.0,1.0
2023-07-13,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.007936941403622111,0.0,0.0,1.0
2023-07-14,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.0006227614130813741,0.0,0.0,1.0
2023-07-17,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0034720840141375664,0.0,0.0,1.0
2023-07-18,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.007430545247715248,0.0,0.0,1.0
2023-07-19,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0022239148093636807,0.0,0.0,1.0
2023-07-20,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.006634589822913317,0.0,0.0,1.0
2023-07-21,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0,0.0,0.0,1.0
2023-07-24,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.004467251302013864,0.0,0.0,1.0
2023-07-25,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0027300771358438336,0.0,0.0,1.0
2023-07-26,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.00015380171192336256,0.0,0.0,1.0
2023-07-27,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.006630074840737077,0.0,0.0,1.0
2023-07-28,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.009790315066457778,0.0,0.0,1.0
2023-07-31,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0019040893804560532,0.0,0.0,1.0
2023-08-01,medium_term_alpha\Results\sample_prices.csv,-0.0002850502187103854,-0.0003150502187103854,-0.0028615418465901543,0.06,3e-05,0.9996849497812896
2023-08-02,medium_term_alpha\Results\sample_prices.csv,-0.00288730724852587,-0.00288730724852587,-0.01391084085287353,0.0,0.0,0.9967985521795439
2023-08-03,medium_term_alpha\Results\sample_prices.csv,0.00033342106633891253,0.00033342106633891253,-0.0028658059749401277,0.0,0.0,0.9971309058157366
2023-08-04,medium_term_alpha\Results\sample_prices.csv,0.00022239191590282646,0.00022239191590282646,-0.004522808505695752,0.0,0.0,0.9973526596682868
2023-08-07,medium_term_alpha\Results\sample_prices.csv,0.0009897085858053022,0.0009897085858053022,0.008728549431549881,0.0,0.0,0.9983397481586362
2023-08-08,medium_term_alpha\Results\sample_prices.csv,-0.000994775351899868,-0.000994775351899868,-0.00434862768630262,0.0,0.0,0.9973466243843462
2023-08-09,medium_term_alpha\Results\sample_prices.csv,-0.0028345084507938024,-0.0028345084507938024,-0.006685312119114606,0.0,0.0,0.9945196369491581
2023-08-10,medium_term_alpha\Results\sample_prices.csv,-0.00023404525987473555,-0.00023404525987473555,0.0003589458898993758,0.0,0.0,0.9942868743422779
2023-08-11,medium_term_alpha\Results\sample_prices.csv,-0.0021699650601517792,-0.0021699650601517792,-0.0005831486341708603,0.0,0.0,0.9921293065651876
2023-08-14,medium_term_alpha\Results\sample_prices.csv,0.004256039348403267,0.004256039348403267,0.005520102716732644,0.0,0.0,0.9963518479326331
2023-08-15,medium_term_alpha\Results\sample_prices.csv,0.00025642571624995725,0.00025642571624995725,-0.011648934932562027,0.0,0.0,0.9966073381688763
2023-08-16,medium_term_alpha\Results\sample_prices.csv,-0.0006199289654409635,-0.0006199289654409635,-0.0073381355833658235,0.0,0.0,0.9959895124127743
2023-08-17,medium_term_alpha\Results\sample_prices.csv,-0.00019592316181021418,-0.00019592316181021418,-0.007619840893680285,0.0,0.0,0.9957943749983726
2023-08-18,medium_term_alpha\Results\sample_prices.csv,-6.229095093625681e-05,-6.229095093625681e-05,0.0004812229624389097,0.0,0.0,0.9957323460198171
