Date,AAPL,AMZN,GOOGL,JPM,MSFT,NVDA,SPY,UNH,XOM
2023-02-02,148.43960571289062,112.91000366210938,106.85682678222656,128.7505340576172,257.8329162597656,21.686113357543945,399.54498291015625,442.2812194824219,99.59169006347656
2023-02-03,152.0615234375,103.38999938964844,103.92108917236328,130.74285888671875,251.74281311035156,21.0777587890625,395.2981872558594,443.3990478515625,100.28163146972656
2023-02-06,149.3352508544922,102.18000030517578,102.05650329589844,131.51202392578125,250.2031707763672,21.066770553588867,392.8824157714844,446.423828125,100.11137390136719
2023-02-07,152.2091522216797,102.11000061035156,106.75762939453125,133.11512756347656,260.71722412109375,22.149625778198242,398.020751953125,447.9644470214844,102.96965789794922
2023-02-08,149.52224731445312,100.05000305175781,98.55545043945312,132.17919921875,259.9084777832031,22.181591033935547,393.66851806640625,453.91998291015625,102.0736312866211
2023-02-09,148.48883056640625,98.23999786376953,94.23118591308594,130.1220245361328,256.8779296875,22.313453674316406,390.2557373046875,456.2778015136719,102.45892333984375
2023-02-10,148.85353088378906,97.61000061035156,93.7947769165039,130.696533203125,256.37127685546875,21.242582321166992,391.1664733886719,464.2811584472656,106.7777099609375
2023-02-13,151.6529998779297,99.54000091552734,93.8344497680664,132.11434936523438,264.38104248046875,21.765029907226562,395.7583312988281,465.3144836425781,106.36235809326172
2023-02-14,151.0122833251953,99.69999694824219,93.90388488769531,132.6981201171875,265.2093200683594,22.9467830657959,395.57623291015625,462.9472961425781,105.1163558959961
2023-02-15,153.11183166503906,101.16000366210938,96.14537048339844,133.25413513183594,263.08953857421875,22.740001678466797,396.86083984375,461.46307373046875,104.80034637451172
2023-02-16,151.5149688720703,98.1500015258789,94.72708129882812,131.41934204101562,256.08538818359375,21.97880744934082,391.39654541015625,457.799560546875,104.49335479736328
2023-02-17,150.3715362548828,97.19999694824219,93.57658386230469,131.8085479736328,252.0900115966797,21.365455627441406,390.41864013671875,468.8182678222656,100.47542572021484
2023-02-21,146.3596649169922,94.58000183105469,91.03758239746094,129.3899688720703,246.82469177246094,20.633228302001953,382.58648681640625,461.5193786621094,100.3760986328125
2023-02-22,146.78350830078125,95.79000091552734,90.89872741699219,128.39845275878906,245.69154357910156,20.732120513916016,382.0592956542969,459.2461853027344,99.07591247558594
